Ticker,Eigenvector_Centrality,ER_eigen_Mean,ER_eigen_Std,DP_Eigen_Mean,DP_Eigen_Std
BRK-B,0.004662544647891972,0.03739810341780138,0.007636244835941808,0.010441812996530313,0.0016094367731466898
PGR,0.002504340794673916,0.03706204239821401,0.007648656484424804,0.0073951738456536015,0.0013155362068163771
WELL,0.019746584732569312,0.03773798044032266,0.007648077738480355,0.039740564170926446,0.0029612004281250547
WEC,0.01578250193229877,0.03790286679073289,0.0077182259275851576,0.024674647186511977,0.002311533335703387
BRO,0.00989184048774942,0.03746274039629671,0.007639817345685742,0.027721545060778688,0.0025917211801380485
PPL,0.023076058142390395,0.03748890177885175,0.00783845779101632,0.04157367258208545,0.0030219246894446386
ATO,0.06321049383448873,0.03739348097484861,0.007501666336387378,0.06499473123817336,0.0038211618689502846
LNT,0.02048362536277371,0.0371192421088322,0.007773381390360434,0.047279454117572374,0.0032649701223462844
EVRG,0.02778990899221988,0.037393012640362815,0.007826791217942232,0.04265024569842853,0.0030799911635131954
ORI,0.06349559909430309,0.03719550361038274,0.007328005625026829,0.06680892918342834,0.003634652101427184
TOWN,0.07937251355400413,0.0371313383280215,0.0078395161434757,0.06697201921966274,0.003627294525977793
WMT,0.04568609755403897,0.03773290214060364,0.007710630253635122,0.07055608640856269,0.0037835759978262174
JPM,0.02286544281381673,0.03772859863974733,0.007695283019419938,0.04719651058344438,0.003225798202437149
COST,0.000655738496721444,0.03714785930853039,0.007511756490503038,0.0021237119644071305,0.000704041418555376
NFLX,0.010483445099023967,0.03759343012812663,0.007924625543745139,0.03761548192764474,0.002975820692116545
TMUS,0.020518370561036583,0.037382228510776654,0.007589962784231205,0.030816527807377866,0.002639119890615883
AXP,0.061381596272632614,0.03788462266989053,0.007867678292443003,0.07871417660750486,0.0038532808317085806
ISRG,0.03556115159726109,0.03716959560869075,0.007886820936319794,0.04628781796001213,0.003190514689070032
T,0.025723686824308794,0.03741702505638499,0.007693602694498042,0.04153654670489763,0.003189557465211758
GS,0.05378912923502564,0.03754882240122073,0.00767534588307728,0.07579157529859856,0.003805195338087342
BSX,0.015907476746260554,0.03708751228826179,0.007534099454290908,0.03369046633725331,0.0027891325538376495
WMB,0.062478129172025054,0.037070578389038406,0.00791400415291701,0.07306848783197833,0.0037763894591861915
SPG,0.03562587177063618,0.03757538486127633,0.007636135013818517,0.04069984097000804,0.003029137047005775
RCL,0.04624869066360035,0.037305028018752934,0.007750752505312754,0.08090196821984205,0.0038110720700518922
HLT,0.015826802297760425,0.037043721919797,0.007736990033395072,0.023711945036037893,0.0024383841256008145
BK,0.08155259131015664,0.03738410042900829,0.007738456211341526,0.09614612979667536,0.004022523137429447
KMI,0.06665367153062111,0.03730727524899617,0.007621925943858724,0.07756459081333233,0.0037702575112369074
HWM,0.03533312941754475,0.03748261971162736,0.00773269154751249,0.05010614116504288,0.003211603184852569
MPLX,0.020371732385262627,0.037383389704700294,0.00782544146336548,0.04930488703878886,0.0033346108056038918
NDAQ,0.09879310779364908,0.03762524374640081,0.007879063612534654,0.08870691824396432,0.004044501696447921
TRGP,0.07842742525236888,0.03764868836527941,0.007988032993010749,0.09025346863976623,0.0041561445621801215
GLW,0.006246978815873138,0.037256806084651345,0.008028664969618154,0.012435827760630926,0.0018031585453439998
ETR,0.04678302834525591,0.03718023276379341,0.007637410138830111,0.07126356411972207,0.003971879164685382
STT,0.10493170802003024,0.0374536156549778,0.008072108221807192,0.09869886153304927,0.004265189604733594
BR,0.01975487814239431,0.0375053763352797,0.007471529773320269,0.022664229468369705,0.002229609086802806
AEE,0.045200939219708615,0.0376454957655414,0.007692155977060357,0.05400609995927269,0.0033345603569402507
CVNA,0.06369543313073017,0.037784867650688926,0.008014001104489746,0.05853974543740705,0.00347198400317594
GDDY,0.021881668264272014,0.03786144414739175,0.008045312684962617,0.03272020405941862,0.00266682938725023
FOX,0.03405269666486518,0.03763637586348591,0.007795839034203599,0.05544671402974161,0.003481861188050539
FWONK,0.003914385983713419,0.037434633169785285,0.007763165046979631,0.012504683227657265,0.0017048323183254377
UI,0.04952815350119964,0.03755064715033203,0.007702301767647598,0.07051904395306445,0.00391657388973941
NTRA,0.015030597345955937,0.036835075382539016,0.00768450074973676,0.025653623407681507,0.0024307095833445507
NI,0.07491374094714695,0.03756141026657757,0.007653237717987913,0.08274294207670713,0.003943620846794764
PODD,0.010648633464539679,0.03737790207509828,0.0076033058186301804,0.01548937371718114,0.0018856456828754932
USFD,0.03665695581829555,0.03758179316600551,0.007990824477515267,0.04732525769506213,0.003245131360872822
CHWY,0.0014299214768449663,0.0372575985481882,0.007620929211612795,0.0063426117674510755,0.0012369061093273938
SFM,0.07740384713392971,0.037270954868220386,0.007307987286358142,0.09115024751781786,0.0040204025876999
PRMB,0.021321454150706333,0.03797881906090994,0.007584559374043388,0.04236384031984644,0.0030612836381423768
TKO,0.004355204796315656,0.03752585442919389,0.007897392201864285,0.01358129603795591,0.0017996715535730907
DTM,0.0661065188039206,0.0371788767919127,0.007589989603865286,0.08083877934086256,0.003983941538455356
TLN,0.0588909275587786,0.03725201948154882,0.007861941157048457,0.07397790158004756,0.003865409934348224
EXLS,0.05017267215799283,0.03713632695301543,0.007675438520220688,0.08378941667366206,0.003892202611492369
PLNT,0.011024713728325218,0.03761291180664257,0.007772234561605603,0.01975981765056477,0.0021119918204304208
WAY,0.016756826730304722,0.037465968119340304,0.007595155558721865,0.045291587169249935,0.0031110296319952152
EAT,0.013538701364645543,0.037032211836975526,0.007719228490041827,0.04629116741088544,0.0032338485725044
FSK,0.011667443745046063,0.037280089981968835,0.007606860943796953,0.03374203271451219,0.002856860151438109
CORT,0.04927143065533302,0.03762282381742111,0.007583043073153119,0.07143959057740057,0.0038097526102534858
PJT,0.09483059532793506,0.0373985478470181,0.0076600219248494405,0.0970325258273018,0.004068787861165763
GPI,0.04091219579055065,0.03706040325272644,0.007649618345086867,0.05100368449731236,0.003433774146954968
VIRT,0.06845153143173584,0.03747166857808579,0.007679067550489919,0.06504896061976694,0.0037323120713869474
IDCC,0.022706098384953063,0.03707654827481118,0.0073532529406321245,0.03658950656379949,0.0029646634997930123
TXNM,0.042486737763635526,0.03788925468331351,0.00801072576491642,0.05394731385003195,0.0033470314454184407
TGTX,0.04445543160050612,0.03699504754701113,0.007686067877049523,0.03963366217011247,0.0029756647564577045
AHR,0.04916016985054394,0.03752061561203132,0.007881148644177561,0.06306931926175419,0.0037031402988449025
CNO,0.12125080593615718,0.037373176124479324,0.0075944940987696654,0.11141144211125874,0.004310220274496373
TDS,0.031147296842149064,0.037230988667108195,0.00796611284946444,0.05305989875327542,0.0033664625182213905
GBTG,0.05000871691036069,0.03766315227356728,0.007847394313874266,0.05575138987394685,0.003547219644525208
KNTK,0.045021600588454315,0.03747243197256466,0.0074675893773674855,0.08090778234204304,0.003937707728942691
FTDR,0.08461733128360298,0.0377831062561186,0.007977397184682477,0.0774972451307441,0.0039181559943735
CARG,0.028513708496130875,0.03736092489839981,0.008003991590377717,0.04245883438208956,0.003064607903904988
AVPT,0.03821809594200555,0.03721189123291904,0.007547213941065401,0.07402652341712262,0.003863974841286266
HTLF,0.09198260295915188,0.03736932022890039,0.007456825694373337,0.10011412580689914,0.0042475032822342045
ENVA,0.1083526248057716,0.03711844697508606,0.007744351011925349,0.0985492481285651,0.00401209476654285
GCMG,0.029934767306861978,0.03716988471508997,0.007862269805065186,0.049172501179626314,0.003134958511118946
RSI,0.008571070571461541,0.03731369551459287,0.00759296196011517,0.018535971218698214,0.0021154848703433837
KYN,0.07434683341640884,0.03706333885760931,0.007857504163491624,0.09138247620523782,0.004049424429338937
SYBT,0.14540840166883442,0.037322510845012605,0.007595627924468665,0.12429509546858614,0.004248989234361854
CET,0.024970598182107836,0.03749135732625123,0.007906462259096268,0.04050127669480079,0.0030646566602834384
TPB,0.04733124116256079,0.03778827280625144,0.007859718662603038,0.07778539993811052,0.0037914419360141507
BBSI,0.0663174712006041,0.037179444036762876,0.00776095788797533,0.06955845125796568,0.0038709185522612473
CURLF,0.0011851738698993527,0.03693313837402207,0.00787304562040847,0.004202393668389908,0.0010179551391202224
CBL,0.01531868128048014,0.037172593291431535,0.007690794888370364,0.017731730563190655,0.0019843177746791335
PRTH,0.002917712002065674,0.03713794600613348,0.007651890365881928,0.007377176452318084,0.001325913738008422
NBN,0.1059896330575501,0.037147173078527086,0.007549920643851263,0.11141997731516136,0.00430122673825804
MS,0.040128415440008926,0.03750443567460192,0.007552527260814794,0.06711085141988458,0.0035402556931444463
C,0.0007577490950357982,0.03696578119756881,0.007773123261808322,0.008356327763958461,0.0014018171770296501
IBKR,0.012956319181433237,0.03731861551412507,0.007449361366346292,0.045702551483662805,0.0030498812388277644
EPD,0.007843192294214667,0.03717544693676848,0.007701069549924537,0.0196440151877026,0.0022357386164378007
ET,0.008002062891459844,0.03716171236565369,0.007791588440045161,0.0367035468726482,0.0029271112927634403
DFS,0.02114515977752797,0.03753162541295081,0.008092572434491987,0.05469550215481439,0.0032886846194633665
HOOD,0.0021363616824437294,0.03702709806968959,0.007694755760359304,0.02270867049476128,0.0024171354762842386
BKR,0.021797081880515504,0.037367718209043305,0.007509663574598613,0.037492177670352345,0.0029054838188208535
NTRS,0.035750706701543504,0.037334092216466754,0.007821461274544904,0.061398634796295225,0.003526078916978893
EQH,0.009492412670838507,0.037125043871780894,0.00748687103354199,0.025844279519020154,0.002420815984944307
ARCC,0.0047595883046164635,0.037213480129895934,0.0075159383003199605,0.019681893123833026,0.0021818900967676956
UNM,0.03981058869465728,0.03740542546601141,0.00787716831066833,0.07741043182761402,0.003934904787876366
FHN,0.017397721911019848,0.03770457693551352,0.007770091155651405,0.04623536319919208,0.0031870035194358627
ONB,0.04134697578420217,0.03777786482136409,0.007906061061359104,0.052971095078800434,0.0035286115283206
LRN,0.003859542367119556,0.03762525748906742,0.00741703541445487,0.011463265858626089,0.00176046199365017
MAIN,0.004390126102403787,0.037433472511847914,0.007355840918768092,0.023579930286423873,0.002279093361451574
SNEX,0.01854368157174106,0.03731203013943826,0.007696826991500416,0.043440251009145524,0.003089338919473764
ATGE,0.006844527743716214,0.03762573138960816,0.007780355599856257,0.018701064287594407,0.0021002844514980503
GRND,0.00493971537996756,0.03745866752276941,0.007908322014487879,0.015661461836698212,0.0018743328051844576
ARIS,0.004619486916283119,0.03738693601207037,0.007980771027716872,0.016447150406778185,0.0020215913532476617
V,3.083625764209635e-07,0.03720747901196595,0.0073765744455499774,0.0010503409113617845,0.000516661943578342
TPR,2.1508434190281203e-05,0.03746953653320729,0.007832246436737024,0.004228085544004206,0.0010169780929373728
MA,0.00010297288884864436,0.03740768667658486,0.007795806820911449,0.006274993264574429,0.001238548067464677
CSCO,0.002960574308925145,0.03774141953586968,0.008026790072467687,0.018626389052575257,0.0020821882674975463
CME,6.818661799131527e-06,0.03753569213730451,0.007637330090550659,0.0031792300610988286,0.0008822749617869877
DASH,0.00019195224320856752,0.0375762459923002,0.007717355315828899,0.008309350708612535,0.0013987053039166263
FTNT,0.00018074655024752977,0.03763551872435142,0.007745180456599808,0.00838141958046717,0.0013947256076999202
LYV,0.0028041962446332556,0.037054994782781715,0.007689588023582196,0.01971024145976399,0.002150532591026001
FFIV,0.0010398176739503512,0.037699660384939264,0.00749481460260624,0.015638132188881722,0.0019272713491595337
TJX,6.70893777098327e-05,0.037466795191627926,0.008024130874197444,0.0031737932883163164,0.0008762561059409773
ORCL,0.0004322954915968191,0.03746265856952652,0.007671072881837312,0.0010016718933976844,0.0004978620279105344
MSI,0.0301662073364725,0.037670665488121445,0.0077333121241210355,0.04423741003031841,0.0031077653302120684
PLTR,0.0014480944829311916,0.03777865041882038,0.00795423777351638,0.017661649914126748,0.0020103349393310655
APP,0.005850081685487891,0.03753728786822934,0.00792670946831991,0.03270602105439031,0.0027332404389795203
DOCS,0.0009075946000106694,0.03716447421978192,0.008024292829135884,0.00530117720948252,0.0011412367385301493
RKLB,0.004339002655693387,0.03762310231154052,0.007757540901973044,0.03164462219365498,0.002682993530346099
LLYVA,0.006123647225142293,0.03759042743022553,0.007572745648707489,0.040653968203836925,0.0029699311476580775
KGS,0.005053048931336666,0.03755413149411645,0.008049533037130206,0.03579132070824659,0.0027949803764909346
CAKE,0.005457461304793664,0.037817476034740755,0.00783693013295756,0.016533370067863123,0.0020055633786553906
DSP,0.0014041226298545334,0.03778768895954865,0.007619905010920789,0.01761746546920545,0.00201036407340822
BFLY,0.0014224173887865347,0.03717772663793659,0.0077271217675052494,0.017616292545099412,0.0020239448082901403
BAC,0.006296364083041508,0.03733888618386614,0.008014404072720114,0.012457896176665642,0.0017345957321884303
SYF,0.05089070505609164,0.037507907653011305,0.007703266603772814,0.07028511513387951,0.003874377661970945
FLS,0.012298629636878325,0.03726663445852637,0.007504096791733328,0.027793129236956433,0.002533592988593044
VCTR,0.011065559118682755,0.03778069860409912,0.007732384477307122,0.016613313456033167,0.0020250408085741075
SKYW,0.011979694692269168,0.037481272284528924,0.0076005289252788115,0.02362984618148296,0.0024643192911137208
ARLP,0.0024747469712496153,0.03753413268953259,0.007798650927071421,0.013529993294334118,0.0017808316739141316
PM,0.005786179469895123,0.0373247170406198,0.007628624055004126,0.0145283045006627,0.0018239818978415046
FI,0.03523032063749003,0.037432750226616095,0.008196620563082162,0.05482956619969782,0.003348196996354387
ADP,0.036465152416961216,0.03706822568008963,0.007308266090272446,0.04442768830439783,0.0031029795874487546
GEV,0.046918702145901006,0.037678546033321055,0.0074181036661677925,0.06865096274614031,0.0036123375606413374
GWRE,0.00911492186784184,0.03736965830076451,0.007513429219692045,0.012458178218803042,0.001736338623674353
OGE,0.05505784980309967,0.03766371567923866,0.007755669455060525,0.06515557701681374,0.0037874371293828597
BERY,0.05390018184275292,0.037368005047682486,0.007663289001313006,0.05022011534138058,0.003284212269704823
ESE,0.004114770625873719,0.03715656173955505,0.007665000735129127,0.005240228262611114,0.001136925832974256
WFC,0.0008724012411399408,0.03709193740182916,0.007963072284526451,0.006303806372744158,0.0012078929006345642
COF,0.005932778982285954,0.03718810906721579,0.007545119161553686,0.032672280067108386,0.002814032764025772
UAL,0.0033367423402756446,0.037559589784279326,0.007585555345581282,0.022730045870491433,0.0022232049399673946
TNL,9.754267244067923e-05,0.03721012709511352,0.008036573209530667,0.0020851918767204876,0.0007408361960523042
GILD,0.0029709663099088757,0.03746638203209641,0.007892821000728035,0.010425189412999337,0.0015908298939337892
EXPE,6.0735506563658106e-05,0.03743047496141787,0.008027623450734139,0.002077828362493623,0.000729567800172688
DUOL,0.00017315285539604294,0.03759334558395952,0.0075553049250801,0.004168624794320696,0.0010048333782650388
CFR,0.010465011009011083,0.03742574809334216,0.00757851208592956,0.022616711695235586,0.002270447898607423
WH,0.001276808590038441,0.03772539012975438,0.0074949997216897,0.021757601986765934,0.0022774707575140356
INTA,0.0036135415909120173,0.037358453981653,0.007536179930721137,0.015505852158933568,0.001960658230525753
TVTX,0.01066682087346861,0.03732355286736951,0.007384421742922281,0.017562372985883243,0.0020484982527359703
AJG,0.0005517509580762869,0.03709729114615283,0.007853851962126656,0.005251756446580895,0.0011327709675192405
DGX,0.005504802556654603,0.0373424087369828,0.007739535584749448,0.011438614827896014,0.0016281915839078543
LTH,0.00048033255607879627,0.037662400748552996,0.00799693952982193,0.006255033927216619,0.0012302912978662869
PBI,0.0015962525890386224,0.03723628327392783,0.0077065817467962495,0.004184894089286212,0.0009864923578789357
IBM,4.258018690513825e-05,0.037443379141928745,0.007753941896652997,0.0010712685444381864,0.0005238593745794268
MRK,0.0018831753958179038,0.037496428634645106,0.007683355709350427,0.00420813729439648,0.001002619920805522
ROIC,0.04495717024920088,0.037055615594307936,0.007643110144125155,0.046168678000469955,0.0032028776824693755
AMP,0.02080944871481549,0.03755273088760525,0.0075528258079593956,0.039522139789198815,0.0030368150181390567
ARES,0.023430991812647177,0.03696807908023216,0.0078082213241512585,0.03367236625029171,0.002792790628111214
VST,0.009407018963245533,0.037426559875623114,0.0076766010388317095,0.01772716766541214,0.0020870035215382215
TPL,0.05589468883393498,0.03772467590222929,0.007798104279025401,0.05653567575697962,0.0034293422225611155
CCL,0.008332849399058173,0.0373370329967471,0.007802605395686518,0.021727237551724152,0.0022594424375093035
HBAN,0.07219660709349814,0.03726004124597153,0.007721512943615174,0.0667415236071629,0.0035871707609834093
TOST,0.008465795537673067,0.03804040081287809,0.007789223675207277,0.024596958389940752,0.002377038292085676
SF,0.07121128716793138,0.0378162933176355,0.007927105787348211,0.07742682218895948,0.003859429918124326
AIT,0.04229299117973887,0.03748618167789883,0.007810124032489067,0.05139637804614341,0.0033426398785575593
WTFC,0.03577429628581054,0.03771258397866627,0.007559497554102451,0.053085381738801604,0.0034150019639882325
ZION,0.09923639595547316,0.037313973748770775,0.007861640562701076,0.08436265828405104,0.00402268615546909
SNV,0.1101174057586863,0.0372597329068675,0.007818259487088362,0.09533244199460474,0.004284223717157005
PRIM,0.023701099985646457,0.03742414747455615,0.007746711852876469,0.0375351554010374,0.0028699275096053444
BTSG,0.015689666834029187,0.037041388032796545,0.007535848762075623,0.02466914874796382,0.002372600442587576
EE,0.04019907032500443,0.03724399265783481,0.007866875275677126,0.0679220634496222,0.0038585808689185295
PAYO,0.05944447104399114,0.0371698864618918,0.007420894188023053,0.07219334195238773,0.00386265575048306
SMR,0.006275892523709215,0.037540333021412436,0.007852057703261042,0.009417130595824216,0.0015305679847012854
PWP,0.10506301585451193,0.03727915641054341,0.008100807190415458,0.08937921171768062,0.004101637589985046
AGX,0.024719876629107584,0.03725752096915075,0.007577898571891086,0.03367084392180215,0.0027918607401943205
KKR,0.07302141294106188,0.037392992594783576,0.0076760954781052845,0.07300958256267265,0.00383754332850574
CMI,0.027089671960241667,0.03726833436513283,0.007573011311954618,0.03471313203383014,0.0028649079972262095
WAB,0.0032968985405479154,0.03794511837652684,0.007548455523215245,0.00932977664025791,0.0015254517580789444
JEF,0.09781952848294811,0.03786858463718898,0.007856462092410274,0.08695952232535603,0.003969768437478323
HLI,0.13776116466783786,0.037404188968636246,0.007691250149545052,0.11861518951324003,0.004175229448976763
CRS,0.04461678054693168,0.037240050545395954,0.007660276467008976,0.05391546897122423,0.0035240548279140437
R,0.12641687780849936,0.037414471512716686,0.007629492838411827,0.10590765231778915,0.004167019732442453
QTWO,0.07110552049921315,0.03721025514991311,0.007548065087568392,0.06870255274961914,0.003740605509881252
MC,0.09122178215100989,0.03734123606661199,0.0074987072132807675,0.0651141644577592,0.003592911085991458
CALM,0.022802965117527618,0.03720940338991321,0.007520603313208844,0.030834359896096786,0.002592634416056357
WLFC,0.06266773944804158,0.037262994898339216,0.007840557743417404,0.06773024368624189,0.003577301868264711
LMB,0.053408286361774145,0.03758291753961371,0.007566018955145288,0.052037087948139,0.0033271906926920954
CBRE,0.06412343003710899,0.03748115430456563,0.007629358207044596,0.058767483476462844,0.003508023031428079
MMSI,0.017865423864313227,0.03705561618468363,0.007845062431446259,0.018715702421828746,0.002115165304531964
RL,5.169017325107178e-05,0.03736656020354219,0.00786433979543178,0.0031296862652302436,0.0008704519569718001
SLM,0.0010424907810360712,0.03745949614593532,0.0075834488505115835,0.012502312832749819,0.0017499793431625492
SSNC,0.0010751976867779888,0.03775801911741346,0.0077736164653101104,0.004156664453654143,0.0010329366658089682
COMP,0.001537439562016081,0.03758943286655244,0.00768059272085134,0.0021414708522363543,0.0007054615008474847
KOS,0.0017392062158395941,0.03714152050681976,0.0075316219256398535,0.005221504321148399,0.0011194096983466776
TFC,0.08195002369285544,0.03752746246700826,0.007762489087942914,0.06417669824744392,0.0036335277928218495
CFG,0.10274288069356592,0.03783466962724016,0.007432952776906933,0.08182070836293488,0.003930025756778791
GMED,0.0017904609559610911,0.03776844109608172,0.008021997533801178,0.009391956002152485,0.0014879568991769266
COOP,0.008112620525767332,0.03686025734337704,0.007663539926565304,0.014623665927487556,0.0019306701984244242
HWC,0.06080968498170844,0.0373384452584112,0.007640169681782193,0.04917209188504503,0.0032456982037059956
SANM,0.0008691754770221868,0.037892734594903284,0.008135012740919852,0.0031914911726964004,0.0008930242554208292
MWA,0.02996159775852221,0.037267616158049376,0.0076855975216668085,0.03175957114648895,0.002707514818667967
CASH,0.13469591648787116,0.037608063412215356,0.007718784682903497,0.10998998207226927,0.004314063554045799
NOW,0.0022927836644752904,0.037188237873872335,0.007739494270780864,0.007357165508138833,0.0013130044006656196
BLK,0.039776075527862706,0.03747934956185017,0.007728196309133256,0.0376553356352061,0.0028976819849460193
BX,0.050101623889896495,0.037358754701273554,0.007484918408188707,0.0492944997644657,0.003236713103350792
LITE,0.002429136924445541,0.03725554569683476,0.007674701154109214,0.007337077543938706,0.0013742494775698482
VCYT,0.006761014111571942,0.03744208072486896,0.007617108903350637,0.013564411270078075,0.001833523893335111
PAR,0.023594853889507637,0.0371188773545216,0.007650027908976181,0.03269774316440503,0.0026260917645166176
BKE,0.00037100284056885497,0.0369420372217379,0.007721750098755396,0.002104451567878006,0.000703394215753847
PX,0.03695411487314829,0.03753287266164295,0.00775046165532335,0.0404810243006305,0.003084184510614976
RTX,0.00041161393622833235,0.03770482619225716,0.007768982485869394,0.0052595374223608216,0.0011195155256200093
DUK,0.0007134303631545849,0.037293827144613614,0.0076714326428644845,0.018687191786987717,0.002092912546233554
MMM,0.004592546537476584,0.03714312150788674,0.007830793545373181,0.012525786014399359,0.0017437085039177177
SN,0.0003341736610901461,0.03715602867089278,0.007610489614807327,0.005267150179529195,0.0011430365588153463
BKV,5.901266639255325e-06,0.03779138951309467,0.007530107229265688,0.003125139577416446,0.0008553957031711196
BKNG,0.0011713690625805994,0.03720208788028221,0.0075398959577328015,0.004143118787936405,0.001035335996062659
APO,0.006337978858219232,0.0372257638591869,0.007753248011682132,0.025832840936448512,0.002376908578076064
SPGI,0.0009329943101064081,0.03737183109841678,0.0076460285613501955,0.008386696790440854,0.0014356810893403206
MCO,0.0025956632872014165,0.03726641396907609,0.007841243245568785,0.01553805044052092,0.0020303162051876944
REG,0.016583904982514358,0.037110857908183505,0.007843573437777952,0.029656788321211394,0.002675187954617906
GLPI,0.00025378420654853566,0.036879267391736865,0.007748436398584607,0.006319886199402324,0.0012395494113209803
JLL,0.018129191592711195,0.037146174005653614,0.007735394045149344,0.031766618078256995,0.0026514883147169387
COKE,0.00024396687375240032,0.03798249682450667,0.0077122769075666,0.007324052814093214,0.0012848824227453144
ADC,0.005089617893620179,0.03711256609943867,0.007296878242297505,0.0384830496010286,0.003016434823966049
FCPT,0.0017268418819798598,0.037404507993741516,0.007484839499659966,0.02375639670603008,0.0023409898678298127
NFG,0.0007866996252403288,0.03720197684120972,0.007668198576739865,0.00419919015242767,0.0010046501331397774
BCSF,0.0009355042068052871,0.0371321183368272,0.007770903369518862,0.006282458066441363,0.0012998594683131795
PNC,0.13481625499236427,0.037507823567080475,0.007884912225134709,0.11057965100639111,0.004285032655123376
MTB,0.11919042898962263,0.037504635076033695,0.0077239318299241275,0.09786965520030505,0.004126989458282625
